Master Category,Subcategory,Date,Location,Payee,Description,Payment Method,Amount,
"Auto/Transportation","Gasoline","06/26/2013"," ","SHELL","POS PURCHASE -      SHELL Service Station    SAN FRANCISCOCA 8245 00463177686233636                          ?MCC=5542","Debit Card/ATM Card XXXX-XXXX-XXXX-8245","$47.39",
"Auto/Transportation","Gasoline","04/05/2013"," ","76 10093623             SAN FRANCISCO CA ","CHECK CRD PURCHASE 04/04 76 10093623             SAN FRANCISCO CA 434256XXXXXX4992 003094858958383                               ?MCC=5542","Debit Card/ATM Card XXXX-XXXX-XXXX-4992","$49.33",
"Auto/Transportation","Gasoline","03/22/2013"," ","SILVER GAS AND","POS PURCHASE -      Silver Gas and           San Francisc CA 4992 00000000732782087                          ?MCC=5541","Debit Card/ATM Card XXXX-XXXX-XXXX-4992","$45.00",
"Auto/Transportation","Gasoline","03/01/2013"," ","76 10093623             SAN FRANCISCO CA ","CHECK CRD PURCHASE 02/28 76 10093623             SAN FRANCISCO CA 434256XXXXXX4992 283060034747589                               ?MCC=5542","Debit Card/ATM Card XXXX-XXXX-XXXX-4992","$52.08",
"Auto/Transportation","Gasoline","02/20/2013"," ","76 10093623             SAN FRANCISCO CA ","CHECK CRD PURCHASE 02/19 76 10093623             SAN FRANCISCO CA 434256XXXXXX4992 163051049252420                               ?MCC=5542","Debit Card/ATM Card XXXX-XXXX-XXXX-4992","$51.98",
"Auto/Transportation","Gasoline","02/11/2013"," ","76 10093623             SAN FRANCISCO CA ","CHECK CRD PURCHASE 02/10 76 10093623             SAN FRANCISCO CA 434256XXXXXX4992 283041857707241                               ?MCC=5542","Debit Card/ATM Card XXXX-XXXX-XXXX-4992","$50.74",
"Auto/Transportation","Gasoline","02/01/2013"," ","SHELL SERVICE STATION SALINAS","POS PURCHASE -      SHELL Service Station    SALINAS      CA 4992 00463032715121627                          ?MCC=5542","Debit Card/ATM Card XXXX-XXXX-XXXX-4992","$43.47",
"Auto/Transportation","Gasoline","01/30/2013"," ","VALE","POS PURCHASE -      VALERO 3732              SALINAS      CA 4992 00463031059411006                          ?MCC=5542","Debit Card/ATM Card XXXX-XXXX-XXXX-4992","$35.80",
"Auto/Transportation","Gasoline","01/22/2013"," ","SHELL","POS PURCHASE -      SHELL Service Station    SAN FRANCISCOCA 3671 00463020858178687                          ?MCC=5542","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$43.60",
"Auto/Transportation","Gasoline","01/14/2013"," ","CHONG & MYONG","CHECK CRD PURCHASE 01/11 CHONG & MYONG INC       OAKLAND       CA 434256XXXXXX3671 083011624461697                               ?MCC=5542","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$43.31",
"Auto/Transportation","Gasoline","12/21/2012"," ","CHEVRON WEST D","POS PURCHASE -      CHEVRON WEST D  INC      SALINAS      CA 3671 00582357055910348                          ?MCC=5541","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$5.39",
"Auto/Transportation","Gasoline","12/21/2012"," ","SHELL","POS PURCHASE -      SHELL Service Station    SAN FRANCISCOCA 3671 00302356760384591                          ?MCC=5542","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$46.84",
"Auto/Transportation","Gasoline","12/19/2012"," ","B I PETROLEUM","CHECK CRD PURCHASE 12/18 B I PETROLEUM LLC       DUNNIGAN      CA 434256XXXXXX3671 002353723690295                               ?MCC=5542","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$35.63",
"Auto/Transportation","Gasoline","12/18/2012"," ","PIL","POS PURCHASE -      PILOT  0168              DUNNIGAN     CA 3671 00000000345815326                          ?MCC=5542","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$34.04",
"Auto/Transportation","Gasoline","12/12/2012"," ","CAR SERVICE","CHECK CRD PURCHASE 12/10 CAR SERVICE             OAKLAND       CA 434256XXXXXX3671 002345675136524                               ?MCC=5542","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$46.83",
"Auto/Transportation","Gasoline","12/10/2012"," ","SHELL OIL","CHECK CRD PURCHASE 12/08 SHELL OIL 57444678      SAN FRANCISCO CA 434256XXXXXX3671 582343705920431                               ?MCC=5542","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$10.01",
"Auto/Transportation","Gasoline","11/29/2012"," ","CAR SERVICE","CHECK CRD PURCHASE 11/27 CAR SERVICE             OAKLAND       CA 434256XXXXXX3671 002332715701483                               ?MCC=5542","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$40.55",
"Auto/Transportation","Gasoline","11/26/2012"," ","SHELL OIL","CHECK CRD PURCHASE 11/24 SHELL OIL 57441083      ATASCADERO    CA 434256XXXXXX3671 582330146233760                               ?MCC=5542","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$46.67",
"Auto/Transportation","Gasoline","11/23/2012"," ","7-ELEVEN","POS PURCHASE -      7-ELEVEN                 SAN LUIS OBISCA 3671 00382327278891841                          ?MCC=5541","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$3.38",
"Auto/Transportation","Gasoline","11/15/2012"," ","SHELL","POS PURCHASE -      SHELL Service S          SAN FRANCISCOCA 3671 00382320737289561                          ?MCC=5542","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$45.50",
"Auto/Transportation","Gasoline","10/02/2012"," ","CHEVRON","CHECK CRD PURCHASE 10/01 CHEVRON 00091000        SAN FRANCISCO CA 434256XXXXXX3671 462275543135140                               ?MCC=5542","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$51.42",
"Auto/Transportation","Gasoline","09/24/2012"," ","SHELL SERVICE S","POS PURCHASE -      SHELL Service S          SAN FRANCISCOCA 3671 00382266722129786                          ?MCC=5542","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$49.65",
"Auto/Transportation","Gasoline","09/17/2012"," ","SILVER GAS AND DIE","CHECK CRD PURCHASE 09/13 Silver Gas and Die      San Francisco CA 434256XXXXXX3671 162258097353398                               ?MCC=5542","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$49.81",
"Auto/Transportation","Gasoline","09/10/2012"," ","CHEVRON COAST I","POS PURCHASE -      CHEVRON/COAST I          SAN LUIS OBISCA 3671 00582254013517866                          ?MCC=5541","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$1.44",
"Auto/Transportation","Gasoline","08/16/2012"," ","76 10093623             SAN FRANCISCO CA ","CHECK CRD PURCHASE 08/15 76 10093623             SAN FRANCISCO CA 434256XXXXXX3671 282229032127930                               ?MCC=5542","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$50.24",
