Master Category,Date,Description,Amount
,12/9/2003,Rai Pepperoni'S Grill Riverside Ca,7.53
Health,12/11/2003,Rite Aid Store 5717 Riverside Ca,19.67
Cash/ATM,12/15/2003,ATM Withdrawal - 12/15 0887J Riverside Riverside Ca 3319,20.00
Auto/Transportation,12/15/2003,Union 76 00379982 Riverside Ca,23.76
Shopping,12/15/2003,UCR Bookstore Riverside Ca,48.42
Checks Written,12/15/2003,Check #305,50.00
Checks Written,12/16/2003,Check #306,25.00
,12/16/2003,The Sharper Image #377 Riverside Ca,43.05
,12/16/2003,Eastbay Catalog 800-628-6301 Wi,66.98
Other Spending,12/17/2003,Non-Wells Fargo ATM Transaction Fee,2.00
Cash/ATM,12/17/2003,ATM Withdrawal - 12/17 10010 3737 Main Streeinland Empriverside Ca,22.00
Groceries,12/18/2003,2995 Iowa Ave. Stater 114Riverside Ca,21.20
,12/19/2003,Bbs Bar And Grill Riverside Ca,4.75
Food/Drink,12/19/2003,Pizza Hut 07050511 909-7648817 Ca,13.30
Groceries,12/19/2003,2995 Iowa Ave. Stater 114Riverside Ca,20.93
,12/20/2003,Pacific Stiks Riverside Ca,5.33
Food/Drink,12/21/2003,Rubio'S Riverside #66 Riverside Ca,6.66
Cash/ATM,12/21/2003,ATM Withdrawal - 12/21 0887J Riverside Riverside Ca 3319,20.00
Auto/Transportation,12/22/2003,Blaine Union 76Blaine Uniriverside Ca 3319,2.35
,12/22/2003,3940 State St Mcd 01556 Santa Barbaraca 3319,4.29
Auto/Transportation,12/22/2003,Union 76 00379982 Riverside Ca,14.24
,12/22/2003,Gap #0245/The Riverside Ca,21.01
,12/23/2003,University Village Cin Riverside Ca,12.50
Auto/Transportation,12/23/2003,Union 76 73752024 Atascadero Ca,26.40
,12/24/2003,Kitchen Collection #10 Atascadero Ca,16.07
,12/24/2003,Office Max 00009662 Pasa Robles Ca,128.68
Cash/ATM,12/26/2003,ATM Withdrawal - 12/26 Td013779 1019 Court St Mc Carthy'San Luis Obisca 3319,42.00
Food/Drink,12/28/2003,Round Table Pizza Atascadero Ca,18.80
Auto/Transportation,12/28/2003,Union 76 00037598 Camarillo Ca,20.36
Other Spending,12/29/2003,Non-Wells Fargo ATM Transaction Fee,2.00
Groceries,12/30/2003,2995 Iowa Ave. Stater 114Riverside Ca 3319,38.94
Shopping,1/1/2004,Mad Platter Riverside Ca,18.05
Other Spending,1/2/2004,Bill Pay Service Fee On 01-01,6.95
Shopping,1/2/2004,Music Mikes Riverside Ca,29.04
,1/4/2004,Historic Mission Inn Riverside Ca,3.23
Entertainment,1/4/2004,Tremors Riverside Ca,12.00
Cash/ATM,1/5/2004,ATM Withdrawal - 01/05 0887J Riverside Riverside Ca 3319,40.00
Auto/Transportation,1/7/2004,Union 76 00379982 Riverside Ca,24.63
Shopping,1/8/2004,Mad Platter Riverside Ca,10.76
Food/Drink,1/8/2004,Get A Way Cafe Riverside Ca,19.45
Groceries,1/8/2004,2995 Iowa Ave. Stater 114Riverside Ca 3319,39.37
Checks Written,1/8/2004,Check #307,475.00
Cash/ATM,1/10/2004,ATM Withdrawal - 01/10 Rx9820 1200 Garnet Avetavern At San Diego Ca 3319,62.00
Auto/Transportation,1/11/2004,Exxonmobil59 02355469 Fallbroo Ca,21.89
Other Spending,1/12/2004,Non-Wells Fargo ATM Transaction Fee,2.00
Groceries,1/12/2004,2995 Iowa Ave. Stater 114Riverside Ca 3319,54.89
Other Spending,1/13/2004,Monthly Point-Of-Sale (Pos) Purchase Fee Total Other Withdrawals,1.00
Other Spending,1/13/2004,Monthly Service Fee,3.75
Bills/Utilities,1/13/2004,Bill Pay Riverside Utilit On-Line 278678132713 On 01-13,64.68
Bills/Utilities,1/13/2004,Bill Pay Charter Communic On-Line 04512201249060 On 01-13,100.00
Credit Card/Loan Payments,1/13/2004,Bill Pay Aspire Card Serv On-Line 4791070400384499 On 01-13,100.00
Payments to Non-Wells Fargo Credit Cards,1/13/2004,Bill Pay Wells Fargo Mast On-Line 5490950002018291 On 01-13,100.00
Other Spending,1/15/2004,Non-Wells Fargo ATM Transaction Fee,2.00
Auto/Transportation,1/15/2004,Shell Oil 20465520656 Riverside Ca,5.01
Cash/ATM,1/15/2004,ATM Withdrawal - 01/15 Scad6808 *U C Riverside B Of A Riverside Ca 3319,41.50
,1/16/2004,1201 Universitytokyo Tonybox Springs Ca 3319,5.65
Entertainment,1/16/2004,Tremors Riverside Ca,7.00
Auto/Transportation,1/18/2004,Shell Oil 61635192007 Cabazon Ca,16.06
Groceries,1/19/2004,2995 Iowa Ave. Stater 114Riverside Ca 3319,34.74
Cash/ATM,1/19/2004,ATM Withdrawal - 01/19 3060046 5797 North Victglobal Cashighland Ca 3319,104.00
Other Spending,1/20/2004,Non-Wells Fargo ATM Transaction Fee,2.00
Shopping,1/21/2004,UCR Bookstore Riverside Ca,30.69
,1/24/2004,Circle Bar Santamonica Ca,13.50
Cash/ATM,1/25/2004,ATM Withdrawal - 01/25 Scad4057 *Corona-01 B Of A Corona Ca 3319,21.50
Auto/Transportation,1/25/2004,1294 Universityarco Payporiverside Ca 3319,36.29
Other Spending,1/26/2004,Non-Wells Fargo ATM Transaction Fee,2.00
Auto/Transportation,1/26/2004,Exxonmobil34 07865660 Riversid Ca,26.84
,1/26/2004,2650 N Main St L And L Mariverside Ca 3319,142.25
Groceries,1/28/2004,2995 Iowa Ave. Stater 114Riverside Ca 3319,29.73
Food/Drink,1/29/2004,Mi Tortilla Mexican Gr Riverside Ca,3.22
Food/Drink,1/29/2004,Coffee Depot 909-2222263 Ca,3.51
Cash/ATM,1/29/2004,ATM Withdrawal - 01/29 Lk277350 3204 Mission Incoffee Depriverside Ca 3319,21.75
Other Spending,1/30/2004,Non-Wells Fargo ATM Transaction Fee,2.00
Auto/Transportation,1/30/2004,23145 Hemlock Aarco Paypomoreno Valleyca 3319,25.45
,1/30/2004,1240 Galleria @Journeys #Riverside Ca 3319,64.64
Shopping,1/30/2004,3700 Tyler Mallmacys Westriverside Ca 3319,102.34
Other Spending,2/2/2004,Bill Pay Service Fee On 02-01,6.95
Other Spending,2/3/2004,Non-Wells Fargo ATM Transaction Fee,2.00
Cash/ATM,2/3/2004,ATM Withdrawal - 02/03 Co9403 800 University Service Plriverside Ca 3319,21.50
Groceries,2/4/2004,2995 Iowa Ave. Stater 114Riverside Ca 3319,7.85
Bills/Utilities,2/4/2004,Bill Pay Riverside Utilit On-Line 278678132713 On 02-04,48.84
Credit Card/Loan Payments,2/4/2004,Bill Pay Aspire Card Serv On-Line 4791070400384499 On 02-04,100.00
Payments to Non-Wells Fargo Credit Cards,2/4/2004,Bill Pay Wells Fargo Mast On-Line 5490950002018291 On 02-04,100.00
Other Spending,2/5/2004,Interlink Transaction 02/05 Ger4 Exxonmobil Pos Rive Ca 3319 403617677630,2.76
,2/5/2004,Kinko'S #1703 Riverside Ca,5.85
Other Spending,2/5/2004,Interlink Transaction 02/05 Ger0 Exxonmobil Pos Rive Ca 3319 403617677197,14.79
Auto/Transportation,2/5/2004,Exxonmobil34 07680523 Riversid Ca,25.35
,2/6/2004,Bbs Bar And Grill Riverside Ca,3.75
Food/Drink,2/6/2004,Fatburger Riverside Ca,7.09
,2/6/2004,Campus Shop N Gcampus Shoriverside Ca 3319,8.83
Entertainment,2/7/2004,Tremors Riverside Ca,9.50
Cash/ATM,2/7/2004,ATM Withdrawal - 02/07 0887K Riverside Riverside Ca 3319,20.00
Food/Drink,2/8/2004,Papa John 2356 Riverside Ca,9.69
Groceries,2/9/2004,2995 Iowa Ave. Stater 114Riverside Ca 3319,16.87
Other Spending,2/11/2004,Monthly Point-Of-Sale (Pos) Purchase Fee,1.00
Other Spending,2/11/2004,Monthly Service Fee,3.75
Auto/Transportation,2/11/2004,Union 76 00379982 Riverside Ca,27.74
,2/13/2004,Videotown Riverside Ca,2.70
,2/14/2004,3261 Iowa/Blaingharabikloriverside Ca 3319,6.51
,2/14/2004,Snow Summit Ticket Sal 909-8668766 Ca,35.00
Food/Drink,2/18/2004,Papa John 2356 Riverside Ca,14.27
Auto/Transportation,2/18/2004,Union 76 00379982 Riverside Ca,170.63
Other Spending,2/19/2004,Non-Wells Fargo ATM Transaction Fee,2.00
Cash/ATM,2/19/2004,ATM Withdrawal - 02/19 S1E08530 406 Commons Washingtonriverside Ca 3319,20.00
Auto/Transportation,2/19/2004,Union 76 00379982 Riverside Ca,21.00
,2/20/2004,Hmshost-Smf-Air #00 Sacramento Ca,17.39
,2/20/2004,Wolfgang Puck Express S Lake Tahoe Nv,30.41
,2/22/2004,Ontario Airport Lot 2 Ontario Ca,48.00
Food/Drink,2/23/2004,Rubio'S Riverside #66 Riverside Ca,5.38
Bills/Utilities,2/23/2004,Charter Communications 310-971-4160 Ca,114.56
Auto/Transportation,2/25/2004,Union 76 00379982 Riverside Ca,28.39
Other Spending,2/26/2004,Non-Wells Fargo ATM Transaction Fee,2.00
Bills/Utilities,2/26/2004,Bill Pay The Gas Company On-Line 09092365197 On 02-26,15.74
,2/26/2004,Bill Pay Wellspring Wirel On-Line 30037360 On 02-26,25.61
Cash/ATM,2/26/2004,ATM Withdrawal - 02/26 S1E08530 406 Commons Washingtonriverside Ca 3319,40.00
,2/27/2004,Kinko'S #1703 Riverside Ca,6.42
,2/27/2004,Kragen #1322 Kragen #Riverside Ca 3319,25.73
,2/28/2004,Great Steak And Potato Riverside Ca,6.45
Groceries,2/28/2004,2995 Iowa Ave. Stater 114Riverside Ca 3319,36.84
Other Spending,3/1/2004,Bill Pay Service Fee On 03-01,6.95
,3/1/2004,Kragen #1573 Kragen #Riverside Ca 3319,14.00
Groceries,3/1/2004,2995 Iowa Ave. Stater 114Riverside Ca 3319,36.98
,3/1/2004,2650 N Main St L And L Mariverside Ca 3319,162.50
,3/2/2004,7622A Chapman Aorange Hilorange Ca 3319,2.35
Auto/Transportation,3/2/2004,Shell Oil 61106221718 Anaheim Ca,30.65
,3/3/2004,Great Steak And Potato Riverside Ca,4.30
Other Spending,3/4/2004,Non-Wells Fargo ATM Transaction Fee,2.00
Cash/ATM,3/4/2004,ATM Withdrawal - 03/04 Co9403 800 University Service Plriverside Ca 3319,41.50
Checks Written,3/5/2004,Check #309,475.00
